transaction_id,sender_person_id,sender_account_id,receiver_person_id,receiver_account_id,transaction_datetime,amount_inr,transaction_type,bank_id,branch_id,reference,location_id,case_id
TXN-0000041,P-000255,AC-000255,P-000555,AC-000555,2026-07-12 12:14:01,39085,UPI,BOK-UCO,BR-080,UTR-3544803633,,
TXN-0000042,P-001779,AC-001779,P-001851,AC-001851,2026-04-16 05:04:02,73457,UPI,BOK-IDFC,BR-060,UTR-1887648659,,
TXN-0000043,P-000514,AC-000514,P-000335,AC-000335,2026-02-27 04:46:05,103539,RTGS,BOK-UCO,BR-003,UTR-5577869466,L-000118,
TXN-0000044,P-001608,AC-001608,P-000737,AC-000737,2026-08-27 20:08:28,45509,TRANSFER,BOK-FED,BR-170,UTR-6144237521,,
TXN-0000045,P-000704,AC-000704,P-000706,AC-000706,2026-07-04 15:09:57,215248,RTGS,BOK-CBI,BR-217,UTR-1690327912,,
TXN-0000046,P-001943,AC-001943,P-000150,AC-000150,2026-05-18 20:35:34,109970,TRANSFER,BOK-CUB,BR-212,UTR-5989871049,,CR-2026-2006
TXN-0000047,P-001979,AC-001979,P-001584,AC-001584,2026-07-15 09:58:07,78280,UPI,BOK-PNB,BR-114,UTR-4539317712,,CR-2026-2009
TXN-0000048,P-001258,AC-001258,P-001847,AC-001847,2026-04-12 15:27:32,65873,CASH,BOK-IB,BR-059,UTR-8429672798,,CR-2026-2014
TXN-0000049,P-001308,AC-001308,P-001731,AC-001731,2026-03-24 02:16:40,81830,RTGS,BOK-IDFC,BR-167,UTR-9406163835,,
TXN-0000050,P-001414,AC-001414,P-000077,AC-000077,2026-08-12 01:16:14,51296,CASH,BOK-FED,BR-081,UTR-2676599480,L-000069,
TXN-0000051,P-001335,AC-001335,P-000568,AC-000568,2026-01-25 14:10:15,129308,RTGS,BOK-YES,BR-144,UTR-3909718881,,
TXN-0000052,P-000989,AC-000989,P-001043,AC-001043,2026-07-03 16:06:04,36526,UPI,BOK-BOA,BR-201,UTR-5293139216,,
TXN-0000053,P-001332,AC-001332,P-001366,AC-001366,2026-07-22 23:43:41,87994,TRANSFER,BOK-CBI,BR-107,UTR-3973835476,,
TXN-0000054,P-001650,AC-001650,P-001496,AC-001496,2026-03-04 20:04:48,163699,TRANSFER,BOK-DBS,BR-076,UTR-8278333716,,CR-2026-2018
TXN-0000055,P-000544,AC-000544,P-001787,AC-001787,2026-04-12 22:17:16,78204,TRANSFER,BOK-IB,BR-032,UTR-1209706380,,
TXN-0000056,P-001832,AC-001832,P-000633,AC-000633,2026-04-01 13:31:48,47793,RTGS,BOK-BOB,BR-128,UTR-2343334075,,
TXN-0000057,P-000442,AC-000442,P-000520,AC-000520,2026-06-15 10:48:01,64666,TRANSFER,BOK-SBI,BR-198,UTR-2578698313,,
TXN-0000058,P-000070,AC-000070,P-001987,AC-001987,2026-05-22 18:06:34,69980,UPI,BOK-IB,BR-171,UTR-1850951565,,CR-2026-2013
TXN-0000059,P-001848,AC-001848,P-000098,AC-000098,2026-03-08 21:12:28,60231,TRANSFER,BOK-RBL,BR-009,UTR-6163653898,,
TXN-0000060,P-001738,AC-001738,P-000390,AC-000390,2026-06-07 23:01:42,68846,CASH,BOK-CUB,BR-024,UTR-7155646639,,
TXN-0000061,P-001126,AC-001126,P-000337,AC-000337,2026-05-23 05:42:34,90855,RTGS,BOK-FED,BR-017,UTR-4553926956,L-000128,
TXN-0000062,P-000951,AC-000951,P-000294,AC-000294,2026-07-05 19:24:12,128131,TRANSFER,BOK-CAN,BR-104,UTR-7530003894,,
TXN-0000063,P-001110,AC-001110,P-000688,AC-000688,2026-02-06 03:49:33,113086,TRANSFER,BOK-YES,BR-137,UTR-1672083497,,CR-2026-2010
TXN-0000064,P-000780,AC-000780,P-001401,AC-001401,2026-03-21 03:20:22,168953,TRANSFER,BOK-HDFC,BR-067,UTR-1310811527,,CR-2026-2006
TXN-0000065,P-000933,AC-000933,P-000671,AC-000671,2026-07-09 23:53:02,30160,NEFT,BOK-IDFC,BR-191,UTR-6504515841,,CR-2026-2017
TXN-0000066,P-000375,AC-000375,P-001663,AC-001663,2026-01-01 01:53:38,94848,TRANSFER,BOK-BOA,BR-096,UTR-5499217753,L-000041,CR-2026-2017
TXN-0000067,P-001978,AC-001978,P-001473,AC-001473,2026-06-12 23:07:00,209475,TRANSFER,BOK-BOB,BR-045,UTR-5085765850,,CR-2026-2014
TXN-0000068,P-000574,AC-000574,P-001775,AC-001775,2026-07-19 04:05:27,73764,UPI,BOK-UCO,BR-034,UTR-7486432846,,CR-2026-2015
TXN-0000069,P-000035,AC-000035,P-000785,AC-000785,2026-06-03 09:03:15,165781,NEFT,BOK-KVB,BR-042,UTR-2696377846,,CR-2026-2018
TXN-0000070,P-001972,AC-001972,P-000626,AC-000626,2026-02-11 01:23:27,16620,NEFT,BOK-CBI,BR-008,UTR-3525376665,,
TXN-0000071,P-000976,AC-000976,P-000798,AC-000798,2026-08-05 23:54:16,78788,UPI,BOK-RBL,BR-165,UTR-4046659524,,CR-2026-2014
TXN-0000072,P-000390,AC-000390,P-000914,AC-000914,2026-05-23 01:28:28,64093,NEFT,BOK-CAN,BR-122,UTR-4509435801,,CR-2026-2015
TXN-0000073,P-001341,AC-001341,P-001645,AC-001645,2026-01-17 19:40:39,78319,TRANSFER,BOK-KVB,BR-166,UTR-7014613184,,CR-2026-2015
TXN-0000074,P-000798,AC-000798,P-000954,AC-000954,2026-02-23 15:39:52,74206,RTGS,BOK-CAN,BR-163,UTR-8018894644,,CR-2026-2019
TXN-0000075,P-001845,AC-001845,P-001939,AC-001939,2026-07-29 20:31:42,52251,RTGS,BOK-ESAF,BR-140,UTR-9352202655,,
TXN-0000076,P-000077,AC-000077,P-000549,AC-000549,2026-07-12 12:30:36,159580,CASH,BOK-AXIS,BR-059,UTR-4372707453,,
TXN-0000077,P-001507,AC-001507,P-001706,AC-001706,2026-08-26 13:45:29,162753,TRANSFER,BOK-CBI,BR-159,UTR-7283092361,,
TXN-0000078,P-001837,AC-001837,P-001044,AC-001044,2026-02-13 02:34:49,102601,NEFT,BOK-PNB,BR-091,UTR-5539021746,,
TXN-0000079,P-001531,AC-001531,P-001513,AC-001513,2026-02-14 18:52:56,78514,TRANSFER,BOK-BOB,BR-027,UTR-8477243375,,
TXN-0000080,P-000212,AC-000212,P-000102,AC-000102,2026-06-16 22:04:42,171021,RTGS,BOK-ICICI,BR-042,UTR-2960747144,,
TXN-0000081,P-000544,AC-000544,P-001787,AC-001787,2026-04-08 07:58:19,80325,UPI,BOK-IB,BR-032,UTR-3616244387,,
TXN-0000082,P-001910,AC-001910,P-001967,AC-001967,2026-05-30 04:17:39,54872,RTGS,BOK-IB,BR-148,UTR-2426773805,,
TXN-0000083,P-001070,AC-001070,P-001974,AC-001974,2026-07-09 11:33:02,130746,RTGS,BOK-CAN,BR-151,UTR-4977033274,L-000172,CR-2026-2014
TXN-0000084,P-001780,AC-001780,P-000401,AC-000401,2026-03-18 00:25:33,203592,UPI,BOK-HDFC,BR-127,UTR-6302303070,,
TXN-0000085,P-001463,AC-001463,P-001725,AC-001725,2026-06-17 03:25:32,78383,RTGS,BOK-KVB,BR-092,UTR-4380073668,,
TXN-0000086,P-001857,AC-001857,P-001779,AC-001779,2026-01-27 23:48:00,80353,TRANSFER,BOK-ESAF,BR-007,UTR-1680274692,,
TXN-0000087,P-001851,AC-001851,P-001451,AC-001451,2026-06-07 01:15:40,64241,TRANSFER,BOK-IDFC,BR-008,UTR-2732576025,L-000137,
TXN-0000088,P-000360,AC-000360,P-000392,AC-000392,2026-05-31 07:19:53,133275,RTGS,BOK-INDUS,BR-146,UTR-5193269570,,
TXN-0000089,P-001816,AC-001816,P-001949,AC-001949,2026-07-24 13:51:44,94020,UPI,BOK-AXIS,BR-139,UTR-5032873208,,
TXN-0000090,P-001272,AC-001272,P-000932,AC-000932,2026-08-16 17:14:30,227068,TRANSFER,BOK-INDUS,BR-200,UTR-7577571916,,CR-2026-2006
TXN-0000091,P-001494,AC-001494,P-000092,AC-000092,2026-05-04 17:25:24,200134,TRANSFER,BOK-INDUS,BR-158,UTR-6342119730,,CR-2026-2008
TXN-0000092,P-000039,AC-000039,P-001921,AC-001921,2026-01-06 00:55:17,207454,RTGS,BOK-HDFC,BR-114,UTR-9652003868,,
TXN-0000093,P-001322,AC-001322,P-001590,AC-001590,2026-01-28 14:51:13,128553,TRANSFER,BOK-CUB,BR-057,UTR-1149255104,,
TXN-0000094,P-001380,AC-001380,P-001817,AC-001817,2026-06-04 23:40:36,131314,NEFT,BOK-FED,BR-124,UTR-3366178191,,
TXN-0000095,P-000379,AC-000379,P-001126,AC-001126,2026-05-10 23:11:40,237302,NEFT,BOK-CBI,BR-073,UTR-4800954093,,
TXN-0000096,P-001851,AC-001851,P-001451,AC-001451,2026-04-23 18:25:26,65429,CASH,BOK-IDFC,BR-008,UTR-5355907346,,
TXN-0000097,P-000683,AC-000683,P-001252,AC-001252,2026-04-06 02:47:34,39462,CASH,BOK-INDUS,BR-188,UTR-6634944084,,
TXN-0000098,P-000877,AC-000877,P-000110,AC-000110,2026-03-21 22:21:19,236641,CASH,BOK-CUB,BR-011,UTR-3200272566,,CR-2026-2002
TXN-0000099,P-001928,AC-001928,P-000585,AC-000585,2026-04-03 06:57:18,79141,NEFT,BOK-KVB,BR-145,UTR-4793488698,,CR-2026-2013
TXN-0000100,P-000402,AC-000402,P-000456,AC-000456,2026-08-22 20:50:00,81336,UPI,BOK-DBS,BR-022,UTR-1993582408,,
TXN-0000101,P-001738,AC-001738,P-000390,AC-000390,2026-07-02 07:40:41,71164,RTGS,BOK-CUB,BR-024,UTR-5855494079,,CR-2026-2011
TXN-0000102,P-000361,AC-000361,P-001920,AC-001920,2026-06-19 17:13:40,145200,CASH,BOK-SBI,BR-218,UTR-5854448117,,
TXN-0000103,P-000279,AC-000279,P-000795,AC-000795,2026-05-16 10:12:44,73542,NEFT,BOK-UCO,BR-071,UTR-4378175474,,
TXN-0000104,P-000412,AC-000412,P-000472,AC-000472,2026-08-16 21:54:29,48295,UPI,BOK-INDUS,BR-080,UTR-4017664270,,
TXN-0000105,P-000131,AC-000131,P-000275,AC-000275,2026-01-24 22:46:10,102893,UPI,BOK-UCO,BR-211,UTR-4948909344,,CR-2026-2016
TXN-0000106,P-001779,AC-001779,P-001851,AC-001851,2026-04-12 12:17:56,72256,UPI,BOK-IDFC,BR-060,UTR-4540805400,,CR-2026-2005
TXN-0000107,P-000279,AC-000279,P-000795,AC-000795,2026-06-02 09:02:50,72364,UPI,BOK-UCO,BR-071,UTR-4446992523,,
TXN-0000108,P-000771,AC-000771,P-001555,AC-001555,2026-02-06 19:11:05,79050,RTGS,BOK-UCO,BR-115,UTR-5110485583,,CR-2026-2002
TXN-0000109,P-000308,AC-000308,P-000047,AC-000047,2026-05-27 21:05:18,67689,UPI,BOK-IB,BR-168,UTR-4599658815,,
TXN-0000110,P-000128,AC-000128,P-000485,AC-000485,2026-06-01 21:31:03,9684,RTGS,BOK-KVB,BR-083,UTR-6296512597,,CR-2026-2015
TXN-0000111,P-001272,AC-001272,P-000299,AC-000299,2026-05-14 11:49:00,75986,CASH,BOK-ESAF,BR-136,UTR-5611582544,,CR-2026-2006
TXN-0000112,P-000274,AC-000274,P-001837,AC-001837,2026-07-14 21:37:15,183737,TRANSFER,BOK-FED,BR-160,UTR-7027166414,L-000133,CR-2026-2003
TXN-0000113,P-001481,AC-001481,P-001631,AC-001631,2026-05-09 23:36:36,181105,UPI,BOK-IDFC,BR-013,UTR-3470075480,L-000041,CR-2026-2012
TXN-0000114,P-000134,AC-000134,P-001130,AC-001130,2026-02-17 03:58:36,123036,RTGS,BOK-CUB,BR-192,UTR-3556111212,,
TXN-0000115,P-001270,AC-001270,P-001826,AC-001826,2026-02-24 01:34:54,207972,TRANSFER,BOK-CBI,BR-099,UTR-3213337574,,CR-2026-2006
TXN-0000116,P-000428,AC-000428,P-000559,AC-000559,2026-08-21 08:07:52,233667,TRANSFER,BOK-ESAF,BR-117,UTR-1284441483,,
TXN-0000117,P-000011,AC-000011,P-000123,AC-000123,2026-03-04 10:35:10,42622,TRANSFER,BOK-BOA,BR-211,UTR-4014936850,,
TXN-0000118,P-000067,AC-000067,P-000323,AC-000323,2026-02-04 05:08:59,115966,TRANSFER,BOK-BOA,BR-031,UTR-3777237363,,
TXN-0000119,P-001863,AC-001863,P-001136,AC-001136,2026-01-09 22:12:39,48425,TRANSFER,BOK-DBS,BR-148,UTR-5765525546,,
TXN-0000120,P-000575,AC-000575,P-001569,AC-001569,2026-08-03 09:01:16,116527,NEFT,BOK-AXIS,BR-118,UTR-7614637926,,CR-2026-2011
TXN-0000121,P-001584,AC-001584,P-001759,AC-001759,2026-06-05 01:09:28,74227,TRANSFER,BOK-ESAF,BR-201,UTR-7649969646,,CR-2026-2015
TXN-0000122,P-000323,AC-000323,P-001335,AC-001335,2026-05-13 23:15:46,136726,NEFT,BOK-UCO,BR-038,UTR-3342003860,,CR-2026-2004
TXN-0000123,P-000840,AC-000840,P-001645,AC-001645,2026-04-09 04:21:48,56249,TRANSFER,BOK-KVB,BR-166,UTR-4261708872,,CR-2026-2011
TXN-0000124,P-000530,AC-000530,P-001134,AC-001134,2026-03-25 19:32:43,45180,CASH,BOK-CAN,BR-138,UTR-2756362263,,
TXN-0000125,P-000690,AC-000690,P-000375,AC-000375,2026-07-21 19:58:18,80342,TRANSFER,BOK-UCO,BR-147,UTR-3492639443,,
TXN-0000126,P-001293,AC-001293,P-001133,AC-001133,2026-03-26 17:05:24,9300,UPI,BOK-BOB,BR-159,UTR-7326775942,,
TXN-0000127,P-000954,AC-000954,P-000860,AC-000860,2026-01-24 07:16:53,64846,UPI,BOK-SBI,BR-051,UTR-9231272926,,CR-2026-2014
TXN-0000128,P-001780,AC-001780,P-000256,AC-000256,2026-08-24 16:56:51,133884,CASH,BOK-DBS,BR-173,UTR-9398887305,,
TXN-0000129,P-000093,AC-000093,P-000466,AC-000466,2026-03-05 12:15:54,136578,TRANSFER,BOK-CBI,BR-085,UTR-5263868751,,CR-2026-2019
TXN-0000130,P-000510,AC-000510,P-001635,AC-001635,2026-04-15 10:05:16,145289,TRANSFER,BOK-UCO,BR-210,UTR-3084697039,L-000169,CR-2026-2015
TXN-0000131,P-001353,AC-001353,P-000164,AC-000164,2026-03-26 19:10:00,92910,UPI,BOK-PNB,BR-004,UTR-8039118277,,CR-2026-2009
TXN-0000132,P-001050,AC-001050,P-001005,AC-001005,2026-07-20 14:34:28,75003,TRANSFER,BOK-KVB,BR-121,UTR-1821601306,,
TXN-0000133,P-000828,AC-000828,P-000423,AC-000423,2026-08-14 11:10:26,52834,UPI,BOK-BOA,BR-077,UTR-6245601695,,
TXN-0000134,P-001835,AC-001835,P-001175,AC-001175,2026-04-29 02:42:01,227116,UPI,BOK-UCO,BR-075,UTR-8461848027,,
TXN-0000135,P-000600,AC-000600,P-000489,AC-000489,2026-05-15 08:09:21,146342,UPI,BOK-AXIS,BR-106,UTR-5319223195,L-000188,CR-2026-2020
TXN-0000136,P-001578,AC-001578,P-000088,AC-000088,2026-07-23 16:37:33,148873,TRANSFER,BOK-YES,BR-007,UTR-4716807883,,
TXN-0000137,P-000094,AC-000094,P-001255,AC-001255,2026-02-24 13:21:33,156729,RTGS,BOK-UCO,BR-040,UTR-5070449040,,CR-2026-2007
TXN-0000138,P-001736,AC-001736,P-001152,AC-001152,2026-03-04 01:08:25,61797,TRANSFER,BOK-INDUS,BR-208,UTR-2618789846,,CR-2026-2015
TXN-0000139,P-001005,AC-001005,P-001072,AC-001072,2026-07-03 12:30:29,204826,TRANSFER,BOK-INDUS,BR-098,UTR-5990966214,,CR-2026-2016
TXN-0000140,P-001087,AC-001087,P-000060,AC-000060,2026-01-06 04:22:51,29128,CASH,BOK-SBI,BR-206,UTR-5131063014,,CR-2026-2016
TXN-0000141,P-000922,AC-000922,P-001689,AC-001689,2026-05-11 01:14:03,224186,TRANSFER,BOK-AXIS,BR-027,UTR-5370534687,L-000112,CR-2026-2014
TXN-0000142,P-000761,AC-000761,P-001775,AC-001775,2026-07-31 11:38:43,148832,CASH,BOK-UCO,BR-034,UTR-8377488750,L-000127,
TXN-0000143,P-001618,AC-001618,P-001695,AC-001695,2026-08-09 07:59:17,202536,UPI,BOK-UCO,BR-012,UTR-2393339273,,
TXN-0000144,P-000230,AC-000230,P-000235,AC-000235,2026-02-18 18:48:41,63433,NEFT,BOK-UCO,BR-216,UTR-4744442436,,
TXN-0000145,P-000528,AC-000528,P-001641,AC-001641,2026-01-27 14:34:46,220849,NEFT,BOK-HDFC,BR-184,UTR-6089463912,,CR-2026-2012
TXN-0000146,P-001096,AC-001096,P-001025,AC-001025,2026-02-04 09:36:36,40305,UPI,BOK-KVB,BR-215,UTR-3531096308,,
TXN-0000147,P-001732,AC-001732,P-000843,AC-000843,2026-01-09 10:10:00,179376,CASH,BOK-BOA,BR-104,UTR-9028745126,,
TXN-0000148,P-000479,AC-000479,P-001852,AC-001852,2026-02-18 13:27:03,231865,UPI,BOK-INDUS,BR-185,UTR-7777167780,L-000141,
TXN-0000149,P-001787,AC-001787,P-000308,AC-000308,2026-03-16 11:04:29,72327,TRANSFER,BOK-YES,BR-214,UTR-9975529657,,CR-2026-2018
TXN-0000150,P-001647,AC-001647,P-000839,AC-000839,2026-01-08 15:08:20,239866,TRANSFER,BOK-ESAF,BR-206,UTR-3066877999,,
TXN-0000151,P-000562,AC-000562,P-000901,AC-000901,2026-07-02 08:43:25,183383,CASH,BOK-HDFC,BR-212,UTR-8024994970,,
TXN-0000152,P-000529,AC-000529,P-000826,AC-000826,2026-05-02 17:51:55,63176,TRANSFER,BOK-CBI,BR-151,UTR-5574175282,,
TXN-0000153,P-000307,AC-000307,P-000887,AC-000887,2026-04-14 08:55:55,173063,NEFT,BOK-IB,BR-165,UTR-2091671797,,
TXN-0000154,P-000641,AC-000641,P-001471,AC-001471,2026-06-20 14:22:10,81133,RTGS,BOK-IDFC,BR-181,UTR-7843261868,,CR-2026-2002
TXN-0000155,P-001218,AC-001218,P-000270,AC-000270,2026-08-11 17:48:46,119152,TRANSFER,BOK-CUB,BR-007,UTR-3753164702,,CR-2026-2017
TXN-0000156,P-000795,AC-000795,P-000502,AC-000502,2026-06-11 03:12:50,66646,UPI,BOK-ICICI,BR-070,UTR-3186029755,L-000017,
TXN-0000157,P-000771,AC-000771,P-001555,AC-001555,2026-03-20 11:17:00,80812,UPI,BOK-UCO,BR-115,UTR-3255144891,,CR-2026-2010
TXN-0000158,P-001531,AC-001531,P-000866,AC-000866,2026-05-29 01:56:17,78085,NEFT,BOK-CBI,BR-186,UTR-5920417598,,
TXN-0000159,P-000954,AC-000954,P-000860,AC-000860,2026-01-18 19:45:32,64540,NEFT,BOK-SBI,BR-051,UTR-4492011286,,CR-2026-2008
TXN-0000160,P-000456,AC-000456,P-000760,AC-000760,2026-02-23 04:25:16,72134,UPI,BOK-SBI,BR-208,UTR-3545131212,L-000114,CR-2026-2005
TXN-0000161,P-001800,AC-001800,P-000699,AC-000699,2026-02-09 23:04:49,236527,UPI,BOK-ESAF,BR-172,UTR-8714305157,,
TXN-0000162,P-000866,AC-000866,P-000442,AC-000442,2026-04-24 23:57:55,75454,UPI,BOK-ICICI,BR-071,UTR-7156188759,L-000085,
TXN-0000163,P-000914,AC-000914,P-001536,AC-001536,2026-05-08 09:59:15,53859,TRANSFER,BOK-DBS,BR-102,UTR-3953673325,,CR-2026-2004
TXN-0000164,P-001251,AC-001251,P-001734,AC-001734,2026-05-20 14:48:54,43662,UPI,BOK-CAN,BR-089,UTR-7341389897,L-000196,CR-2026-2017
TXN-0000165,P-000900,AC-000900,P-000933,AC-000933,2026-07-23 20:34:42,13250,TRANSFER,BOK-BOB,BR-192,UTR-8849291152,,
TXN-0000166,P-001625,AC-001625,P-001656,AC-001656,2026-02-08 02:53:53,221245,UPI,BOK-DBS,BR-151,UTR-5943474169,,
TXN-0000167,P-000499,AC-000499,P-000317,AC-000317,2026-03-28 23:39:59,13788,RTGS,BOK-FED,BR-112,UTR-4169088897,,
TXN-0000168,P-001044,AC-001044,P-001258,AC-001258,2026-03-01 13:25:36,70711,TRANSFER,BOK-RBL,BR-075,UTR-1712447160,,CR-2026-2005
TXN-0000169,P-001029,AC-001029,P-001212,AC-001212,2026-01-10 11:11:17,152999,TRANSFER,BOK-INDUS,BR-064,UTR-4476212664,,CR-2026-2016
TXN-0000170,P-001491,AC-001491,P-001684,AC-001684,2026-02-28 15:38:12,18333,CASH,BOK-PNB,BR-012,UTR-2414491636,L-000192,
TXN-0000171,P-001847,AC-001847,P-001863,AC-001863,2026-06-15 07:06:30,56423,TRANSFER,BOK-BOA,BR-131,UTR-6407891393,,
TXN-0000172,P-000976,AC-000976,P-000798,AC-000798,2026-06-20 16:07:23,78200,CASH,BOK-RBL,BR-165,UTR-8430962499,,
TXN-0000173,P-000494,AC-000494,P-001351,AC-001351,2026-07-25 21:02:26,168307,CASH,BOK-IDFC,BR-097,UTR-5936394825,,CR-2026-2006
TXN-0000174,P-001315,AC-001315,P-001571,AC-001571,2026-06-02 01:58:30,50361,NEFT,BOK-IDFC,BR-065,UTR-3194096674,,
