call_id,caller_person_id,caller_phone_id,caller_phone,receiver_person_id,receiver_phone_id,receiver_phone,call_datetime,duration_seconds,call_type,cell_tower_id,cell_tower_location_id,cell_tower_location,case_id
CAL-0000012,P-000837,PH-000033,+91-9825309251,P-001755,PH-000658,+91-1739063757,2026-03-28 10:53:06,1826,INCOMING,TWR-0262,L-000153,"University Road, Krishnagiri",CR-2026-2010
CAL-0000013,P-000542,PH-000240,+91-7030453194,P-001846,PH-000306,+91-3106005313,2026-08-23 20:52:41,1881,OUTGOING,TWR-0015,L-000092,"Old Town, Cuddalore",
CAL-0000014,P-000605,PH-000013,+91-6739385258,P-000719,PH-000061,+91-4795137116,2026-03-08 14:18:09,106,OUTGOING,TWR-0184,L-000101,"Industrial Estate, Coimbatore",
CAL-0000015,P-000756,PH-000805,+91-0702608698,P-000903,PH-000802,+91-0093459626,2026-04-03 02:24:55,2842,INCOMING,TWR-0347,L-000016,"University Road, Karur",
CAL-0000016,P-000173,PH-000453,+91-4281139043,P-000286,PH-000738,+91-1588863677,2026-07-09 20:56:36,3331,INCOMING,TWR-0207,L-000105,"Bypass, Tirunelveli",
CAL-0000017,P-000344,PH-000277,+91-7766575460,P-001843,PH-000050,+91-6335693929,2026-02-02 13:26:18,3056,INCOMING,TWR-0385,L-000042,"Market Road, Dindigul",CR-2026-2014
CAL-0000018,P-000255,PH-000467,+91-9613671577,P-000913,PH-000761,+91-9833423372,2026-07-02 06:50:52,339,OUTGOING,TWR-0069,L-000147,"Port Area, Tiruchirappalli",
CAL-0000019,P-000290,PH-000222,+91-0182043397,P-001700,PH-000262,+91-5217073033,2026-08-07 13:53:35,2636,OUTGOING,TWR-0124,L-000021,"Old Town, Coimbatore",
CAL-0000020,P-001535,PH-000105,+91-9121535396,P-001846,PH-000306,+91-3106005313,2026-06-22 06:47:04,3491,INCOMING,TWR-0022,L-000082,"Highway Junction, Nagercoil",
CAL-0000021,P-000261,PH-000124,+91-8763514846,P-000261,PH-000124,+91-8763514846,2026-03-16 19:09:13,582,OUTGOING,TWR-0058,L-000157,"University Road, Chennai",
CAL-0000022,P-000827,PH-000977,+91-6575427865,P-000590,PH-000924,+91-1132532694,2026-01-09 09:38:14,0,MISSED,TWR-0145,L-000070,"Warehouse Zone, Thanjavur",
CAL-0000023,P-000425,PH-000213,+91-7702851961,P-001986,PH-000209,+91-5712661106,2026-01-04 22:06:59,510,INCOMING,TWR-0272,L-000188,"Railway Station, Chennai",
CAL-0000024,P-001565,PH-000210,+91-2737158698,P-001356,PH-000243,+91-9992192124,2026-01-14 11:46:18,2832,OUTGOING,TWR-0376,L-000031,"Highway Junction, Dindigul",
CAL-0000025,P-000582,PH-000069,+91-4523805525,P-001422,PH-000735,+91-0487368269,2026-03-14 14:11:09,2342,INCOMING,TWR-0359,L-000072,"Warehouse Zone, Erode",
CAL-0000026,P-000603,PH-000125,+91-8536649878,P-001818,PH-000949,+91-4292501058,2026-07-13 02:02:15,2261,INCOMING,TWR-0009,L-000016,"University Road, Karur",CR-2026-2011
CAL-0000027,P-000267,PH-000366,+91-6492151826,P-000677,PH-000952,+91-0271122182,2026-02-07 01:02:13,2653,OUTGOING,TWR-0284,L-000083,"Auto Nagar, Hosur",
CAL-0000028,P-001742,PH-000147,+91-0696942152,P-001893,PH-000115,+91-7969545009,2026-05-07 05:02:38,684,OUTGOING,TWR-0187,L-000082,"Highway Junction, Nagercoil",CR-2026-2003
CAL-0000029,P-000582,PH-000069,+91-4523805525,P-001422,PH-000735,+91-0487368269,2026-08-21 03:46:10,2878,INCOMING,TWR-0349,L-000068,"Bus Stand, Hosur",
CAL-0000030,P-000068,PH-000491,+91-3110609209,P-000238,PH-000070,+91-7828410672,2026-02-20 04:12:08,2001,OUTGOING,TWR-0185,L-000126,"Warehouse Zone, Thoothukudi",
CAL-0000031,P-000399,PH-000833,+91-8996986091,P-000502,PH-000748,+91-0460568761,2026-04-13 14:41:38,83,INCOMING,TWR-0066,L-000090,"Warehouse Zone, Salem",
CAL-0000032,P-000344,PH-000277,+91-7766575460,P-001843,PH-000050,+91-6335693929,2026-08-17 15:10:46,307,INCOMING,TWR-0041,L-000125,"Textile Market, Hosur",CR-2026-2003
CAL-0000033,P-001555,PH-000446,+91-1096227284,P-000285,PH-000577,+91-8733978559,2026-04-27 08:42:33,2128,OUTGOING,TWR-0059,L-000072,"Warehouse Zone, Erode",
CAL-0000034,P-000408,PH-000242,+91-3614987283,P-001146,PH-000150,+91-4362620443,2026-07-16 06:54:25,3413,OUTGOING,TWR-0259,L-000096,"Warehouse Zone, Tiruchirappalli",
CAL-0000035,P-001251,PH-000142,+91-8570027206,P-001477,PH-000539,+91-4570545897,2026-05-27 14:49:52,1885,INCOMING,TWR-0081,L-000055,"Grain Market, Thoothukudi",
CAL-0000036,P-001060,PH-000485,+91-1371576605,P-001179,PH-000658,+91-1739063757,2026-02-14 01:43:12,0,MISSED,TWR-0286,L-000015,"SIPCOT, Kanniyakumari",
CAL-0000037,P-000267,PH-000366,+91-6492151826,P-000677,PH-000952,+91-0271122182,2026-06-27 14:34:53,124,OUTGOING,TWR-0122,L-000165,"Ring Road, Krishnagiri",CR-2026-2007
CAL-0000038,P-000679,PH-000315,+91-5743263039,P-001642,PH-000578,+91-8217661912,2026-08-14 21:46:26,236,OUTGOING,TWR-0177,L-000086,"Old Town, Kanniyakumari",CR-2026-2002
CAL-0000039,P-001809,PH-000676,+91-2705102876,P-002000,PH-000836,+91-0392051460,2026-04-19 10:54:40,1493,OUTGOING,TWR-0341,L-000151,"Warehouse Zone, Salem",
CAL-0000040,P-000148,PH-000175,+91-1722601645,P-000966,PH-000602,+91-7320441384,2026-05-04 09:24:26,3316,OUTGOING,TWR-0358,L-000105,"Bypass, Tirunelveli",
CAL-0000041,P-001870,PH-000389,+91-8321528506,P-001842,PH-000986,+91-1656094565,2026-08-22 23:51:51,2849,OUTGOING,TWR-0381,L-000102,"Industrial Estate, Hosur",
CAL-0000042,P-001886,PH-000650,+91-8634255638,P-001010,PH-000257,+91-7232002496,2026-06-27 15:57:08,1513,OUTGOING,TWR-0337,L-000052,"Bus Stand, Erode",
CAL-0000043,P-001886,PH-000650,+91-8634255638,P-000904,PH-000151,+91-9735971072,2026-07-10 18:03:20,3588,INCOMING,TWR-0193,L-000160,"Industrial Estate, Thoothukudi",CR-2026-2015
CAL-0000044,P-000035,PH-000634,+91-7827411767,P-001863,PH-000146,+91-0089317342,2026-06-02 10:04:48,2428,INCOMING,TWR-0210,L-000114,"Ring Road, Thanjavur",CR-2026-2015
CAL-0000045,P-000115,PH-000406,+91-6708604145,P-001766,PH-000689,+91-3862044851,2026-03-12 00:16:54,338,INCOMING,TWR-0028,L-000172,"Warehouse Zone, Chennai",
CAL-0000046,P-000390,PH-000181,+91-7276012277,P-000881,PH-000228,+91-3993788614,2026-08-06 04:55:30,0,MISSED,TWR-0286,L-000020,"Residential Colony, Karur",
CAL-0000047,P-000004,PH-000231,+91-6718325823,P-000336,PH-000042,+91-0108220781,2026-05-14 13:24:36,1058,OUTGOING,TWR-0012,L-000044,"Old Town, Cuddalore",
CAL-0000048,P-000148,PH-000175,+91-1722601645,P-000966,PH-000602,+91-7320441384,2026-05-25 18:41:43,3355,OUTGOING,TWR-0391,L-000043,"Textile Market, Karur",
CAL-0000049,P-000148,PH-000175,+91-1722601645,P-000966,PH-000602,+91-7320441384,2026-03-12 19:13:57,1709,INCOMING,TWR-0250,L-000020,"Residential Colony, Karur",
CAL-0000050,P-000616,PH-000567,+91-2588358681,P-001964,PH-000162,+91-3908926137,2026-05-25 08:46:26,683,OUTGOING,TWR-0028,L-000147,"Port Area, Tiruchirappalli",
CAL-0000051,P-001459,PH-000865,+91-0908144152,P-001690,PH-000917,+91-4171581021,2026-08-02 07:20:32,2181,OUTGOING,TWR-0037,L-000192,"Bypass, Cuddalore",CR-2026-2010
CAL-0000052,P-000493,PH-000317,+91-3553380339,P-001104,PH-000458,+91-2271133228,2026-04-04 07:09:49,0,MISSED,TWR-0343,L-000130,"Auto Nagar, Nagapattinam",
CAL-0000053,P-001152,PH-000140,+91-2756041776,P-001912,PH-000795,+91-7160736077,2026-06-02 23:28:32,45,OUTGOING,TWR-0120,L-000012,"Bus Stand, Madurai",
CAL-0000054,P-000041,PH-000950,+91-7525680656,P-001818,PH-000949,+91-4292501058,2026-07-11 03:10:25,0,MISSED,TWR-0226,L-000131,"Warehouse Zone, Kanniyakumari",
CAL-0000055,P-000991,PH-000720,+91-0842456075,P-001331,PH-000196,+91-1376037548,2026-06-22 07:50:50,1700,INCOMING,TWR-0068,L-000016,"University Road, Karur",CR-2026-2020
CAL-0000056,P-000756,PH-000805,+91-0702608698,P-001980,PH-000469,+91-5155973714,2026-08-18 08:44:22,346,OUTGOING,TWR-0050,L-000023,"Bus Stand, Kanniyakumari",
CAL-0000057,P-001761,PH-000334,+91-6864622522,P-000969,PH-000269,+91-2338655963,2026-02-12 17:51:26,1350,OUTGOING,TWR-0270,L-000135,"Market Road, Kanniyakumari",
CAL-0000058,P-001184,PH-000227,+91-1526546103,P-001263,PH-000502,+91-8634234619,2026-07-01 04:30:14,0,MISSED,TWR-0246,L-000165,"Ring Road, Krishnagiri",
CAL-0000059,P-000255,PH-000467,+91-9613671577,P-000913,PH-000761,+91-9833423372,2026-05-10 21:44:13,2842,OUTGOING,TWR-0336,L-000091,"Industrial Estate, Nagapattinam",
CAL-0000060,P-000803,PH-000663,+91-5357788116,P-001604,PH-000309,+91-5520650637,2026-05-07 19:33:26,3368,OUTGOING,TWR-0122,L-000102,"Industrial Estate, Hosur",
CAL-0000061,P-000163,PH-000287,+91-9966361863,P-000008,PH-000067,+91-2547292842,2026-08-12 07:56:52,1986,OUTGOING,TWR-0095,L-000183,"Grain Market, Chennai",
CAL-0000062,P-001125,PH-000459,+91-8985725459,P-000064,PH-000751,+91-4547574949,2026-06-02 13:07:29,3149,OUTGOING,TWR-0285,L-000082,"Highway Junction, Nagercoil",CR-2026-2015
CAL-0000063,P-001398,PH-000773,+91-9258796434,P-001760,PH-000610,+91-1187181335,2026-05-20 18:38:24,3312,OUTGOING,TWR-0250,L-000147,"Port Area, Tiruchirappalli",
CAL-0000064,P-000371,PH-000134,+91-7139155963,P-000419,PH-000522,+91-7030376371,2026-02-08 14:43:16,1289,OUTGOING,TWR-0170,L-000181,"Highway Junction, Chennai",
CAL-0000065,P-000097,PH-000765,+91-3189397490,P-000556,PH-000554,+91-0806129439,2026-01-22 20:31:54,2067,OUTGOING,TWR-0069,L-000054,"Warehouse Zone, Cuddalore",
CAL-0000066,P-001652,PH-000139,+91-7606441343,P-001070,PH-000371,+91-4084872975,2026-05-07 00:40:30,645,OUTGOING,TWR-0355,L-000021,"Old Town, Coimbatore",
CAL-0000067,P-000687,PH-000812,+91-2906032020,P-001323,PH-000744,+91-3524103977,2026-06-16 10:27:59,2443,OUTGOING,TWR-0007,L-000101,"Industrial Estate, Coimbatore",
CAL-0000068,P-001328,PH-000449,+91-9843624186,P-000431,PH-000866,+91-9821739295,2026-07-29 20:32:06,3391,OUTGOING,TWR-0384,L-000188,"Railway Station, Chennai",
CAL-0000069,P-001251,PH-000173,+91-9081081866,P-001691,PH-000410,+91-5598953439,2026-06-11 09:46:55,3311,OUTGOING,TWR-0069,L-000167,"Old Town, Dindigul",
CAL-0000070,P-001942,PH-000116,+91-0255905616,P-000122,PH-000471,+91-9605673030,2026-07-18 18:56:29,2351,OUTGOING,TWR-0043,L-000179,"SIPCOT, Tiruchirappalli",
CAL-0000071,P-000255,PH-000467,+91-9613671577,P-000913,PH-000761,+91-9833423372,2026-03-12 18:18:50,1319,OUTGOING,TWR-0396,L-000091,"Industrial Estate, Nagapattinam",CR-2026-2011
CAL-0000072,P-000642,PH-000578,+91-8217661912,P-001354,PH-000026,+91-4615717320,2026-05-01 23:26:09,2204,OUTGOING,TWR-0375,L-000091,"Industrial Estate, Nagapattinam",
CAL-0000073,P-000035,PH-000634,+91-7827411767,P-001863,PH-000146,+91-0089317342,2026-02-23 18:32:25,540,OUTGOING,TWR-0153,L-000121,"Residential Colony, Nagercoil",
CAL-0000074,P-001761,PH-000334,+91-6864622522,P-000465,PH-000171,+91-7327881476,2026-05-24 04:39:34,1945,OUTGOING,TWR-0380,L-000160,"Industrial Estate, Thoothukudi",
CAL-0000075,P-001251,PH-000173,+91-9081081866,P-001818,PH-000949,+91-4292501058,2026-07-09 02:53:36,1946,INCOMING,TWR-0386,L-000084,"Residential Colony, Karur",CR-2026-2009
CAL-0000076,P-001399,PH-000833,+91-8996986091,P-001482,PH-000617,+91-4353537513,2026-04-07 01:05:33,3213,INCOMING,TWR-0254,L-000003,"University Road, Erode",
CAL-0000077,P-000148,PH-000175,+91-1722601645,P-000966,PH-000602,+91-7320441384,2026-04-20 09:23:14,0,MISSED,TWR-0186,L-000076,"Bus Stand, Cuddalore",
CAL-0000078,P-000900,PH-000695,+91-8720962893,P-001951,PH-000790,+91-9409600356,2026-01-15 23:09:10,2177,OUTGOING,TWR-0259,L-000042,"Market Road, Dindigul",CR-2026-2005
CAL-0000079,P-000115,PH-000406,+91-6708604145,P-001766,PH-000689,+91-3862044851,2026-02-22 05:58:12,1182,INCOMING,TWR-0011,L-000042,"Market Road, Dindigul",CR-2026-2007
CAL-0000080,P-001399,PH-000833,+91-8996986091,P-001482,PH-000617,+91-4353537513,2026-07-10 14:58:52,2607,OUTGOING,TWR-0130,L-000105,"Bypass, Tirunelveli",CR-2026-2015
CAL-0000081,P-000616,PH-000567,+91-2588358681,P-001964,PH-000162,+91-3908926137,2026-07-21 02:10:44,3424,OUTGOING,TWR-0260,L-000160,"Industrial Estate, Thoothukudi",
CAL-0000082,P-001251,PH-000173,+91-9081081866,P-001772,PH-000468,+91-8711216636,2026-06-01 21:32:33,2059,INCOMING,TWR-0366,L-000102,"Industrial Estate, Hosur",
CAL-0000083,P-000956,PH-000681,+91-3652037583,P-000392,PH-000041,+91-0054364597,2026-08-18 07:45:14,2342,OUTGOING,TWR-0111,L-000097,"Technology Park, Coimbatore",
CAL-0000084,P-000039,PH-000350,+91-3414111593,P-000672,PH-000237,+91-0209700268,2026-06-04 18:41:35,3458,OUTGOING,TWR-0210,L-000015,"SIPCOT, Kanniyakumari",CR-2026-2006
CAL-0000085,P-001181,PH-000199,+91-2081155626,P-001449,PH-000021,+91-0119470720,2026-02-17 23:17:15,1926,INCOMING,TWR-0129,L-000065,"Textile Market, Coimbatore",
CAL-0000086,P-001232,PH-000186,+91-1795760243,P-001483,PH-000101,+91-7182754801,2026-05-15 03:09:14,2333,OUTGOING,TWR-0097,L-000079,"Warehouse Zone, Salem",
CAL-0000087,P-000371,PH-000134,+91-7139155963,P-000419,PH-000522,+91-7030376371,2026-03-13 13:02:36,2222,OUTGOING,TWR-0131,L-000095,"Port Area, Nagercoil",
CAL-0000088,P-000664,PH-000829,+91-7692743811,P-001556,PH-000554,+91-0806129439,2026-03-28 01:18:31,3007,OUTGOING,TWR-0347,L-000082,"Highway Junction, Nagercoil",CR-2026-2020
CAL-0000089,P-000573,PH-000233,+91-0074946539,P-001276,PH-000376,+91-3598926256,2026-01-28 23:41:27,1488,OUTGOING,TWR-0003,L-000165,"Ring Road, Krishnagiri",
CAL-0000090,P-000838,PH-000553,+91-5857567667,P-001601,PH-000261,+91-7795995946,2026-01-26 14:27:27,1273,OUTGOING,TWR-0115,L-000023,"Bus Stand, Kanniyakumari",
CAL-0000091,P-001368,PH-000835,+91-6057798066,P-000888,PH-000006,+91-4440192927,2026-01-05 19:25:45,3183,INCOMING,TWR-0178,L-000038,"Bus Stand, Madurai",
CAL-0000092,P-001184,PH-000227,+91-1526546103,P-000706,PH-000971,+91-8440971231,2026-04-08 04:23:20,1757,OUTGOING,TWR-0252,L-000105,"Bypass, Tirunelveli",CR-2026-2009
CAL-0000093,P-000366,PH-000753,+91-4429477422,P-001943,PH-000020,+91-1286391741,2026-01-24 06:32:06,2672,INCOMING,TWR-0279,L-000121,"Residential Colony, Nagercoil",CR-2026-2016
CAL-0000094,P-000094,PH-000513,+91-2608805017,P-000278,PH-000568,+91-2259572446,2026-07-11 16:58:25,1073,OUTGOING,TWR-0012,L-000114,"Ring Road, Thanjavur",
CAL-0000095,P-000425,PH-000213,+91-7702851961,P-001986,PH-000209,+91-5712661106,2026-06-29 08:15:35,3573,INCOMING,TWR-0045,L-000059,"IT Park, Chennai",
CAL-0000096,P-001184,PH-000227,+91-1526546103,P-000197,PH-000729,+91-5133053194,2026-06-04 06:21:46,1968,INCOMING,TWR-0089,L-000015,"SIPCOT, Kanniyakumari",
CAL-0000097,P-001886,PH-000650,+91-8634255638,P-000092,PH-000587,+91-9608706626,2026-04-25 21:45:59,1016,INCOMING,TWR-0141,L-000138,"Port Area, Madurai",
CAL-0000098,P-000290,PH-000222,+91-0182043397,P-000908,PH-000252,+91-0704961108,2026-08-10 09:49:03,3087,INCOMING,TWR-0190,L-000090,"Warehouse Zone, Salem",CR-2026-2020
CAL-0000099,P-001577,PH-000409,+91-7554110825,P-001079,PH-000969,+91-6040142473,2026-01-04 11:17:20,3047,OUTGOING,TWR-0044,L-000130,"Auto Nagar, Nagapattinam",CR-2026-2017
CAL-0000100,P-001398,PH-000773,+91-9258796434,P-001760,PH-000610,+91-1187181335,2026-05-11 00:54:40,3023,OUTGOING,TWR-0333,L-000020,"Residential Colony, Karur",CR-2026-2007
CAL-0000101,P-000069,PH-000220,+91-4120948181,P-001730,PH-000229,+91-0578617063,2026-05-19 05:48:33,1232,OUTGOING,TWR-0375,L-000082,"Highway Junction, Nagercoil",
CAL-0000102,P-001440,PH-000141,+91-5612481569,P-001703,PH-000364,+91-5011117830,2026-03-20 20:26:19,2052,INCOMING,TWR-0265,L-000009,"Highway Junction, Krishnagiri",
CAL-0000103,P-000148,PH-000175,+91-1722601645,P-000966,PH-000602,+91-7320441384,2026-05-11 22:42:08,829,INCOMING,TWR-0272,L-000105,"Bypass, Tirunelveli",
CAL-0000104,P-001555,PH-000446,+91-1096227284,P-000354,PH-000026,+91-4615717320,2026-08-11 01:12:10,2071,INCOMING,TWR-0081,L-000153,"University Road, Krishnagiri",CR-2026-2019
CAL-0000105,P-001100,PH-000422,+91-0053424089,P-001204,PH-000333,+91-4364027011,2026-07-05 06:55:36,1877,OUTGOING,TWR-0309,L-000009,"Highway Junction, Krishnagiri",CR-2026-2018
CAL-0000106,P-000039,PH-000632,+91-2138820908,P-000672,PH-000237,+91-0209700268,2026-03-01 06:35:24,3022,OUTGOING,TWR-0299,L-000082,"Highway Junction, Nagercoil",
CAL-0000107,P-000039,PH-000350,+91-3414111593,P-000672,PH-000237,+91-0209700268,2026-08-22 03:52:44,1994,OUTGOING,TWR-0115,L-000041,"Grain Market, Vellore",CR-2026-2007
CAL-0000108,P-001652,PH-000139,+91-7606441343,P-001278,PH-000568,+91-2259572446,2026-02-26 05:43:41,1080,OUTGOING,TWR-0047,L-000175,"Port Area, Tiruchirappalli",
CAL-0000109,P-000145,PH-000043,+91-1379956353,P-000705,PH-000845,+91-3703824073,2026-08-15 01:54:05,2706,OUTGOING,TWR-0193,L-000114,"Ring Road, Thanjavur",
CAL-0000110,P-000016,PH-000166,+91-0189616423,P-000287,PH-000868,+91-2373605079,2026-02-22 05:32:56,90,OUTGOING,TWR-0081,L-000088,"Bus Stand, Hosur",
CAL-0000111,P-001272,PH-000767,+91-6947258784,P-001672,PH-000237,+91-0209700268,2026-08-27 20:16:12,2469,INCOMING,TWR-0168,L-000052,"Bus Stand, Erode",CR-2026-2006
CAL-0000112,P-000570,PH-000073,+91-1406937515,P-001898,PH-000759,+91-7908335061,2026-06-21 02:40:56,675,OUTGOING,TWR-0165,L-000185,"Bypass, Vellore",CR-2026-2007
CAL-0000113,P-001761,PH-000334,+91-6864622522,P-000850,PH-000932,+91-2292310672,2026-07-29 21:52:47,1038,OUTGOING,TWR-0141,L-000018,"Bus Stand, Madurai",CR-2026-2001
CAL-0000114,P-000425,PH-000213,+91-7702851961,P-001986,PH-000209,+91-5712661106,2026-04-03 20:47:27,209,OUTGOING,TWR-0289,L-000091,"Industrial Estate, Nagapattinam",
CAL-0000115,P-000754,PH-000260,+91-8065333153,P-001978,PH-000937,+91-6919284552,2026-04-16 21:21:20,1539,OUTGOING,TWR-0287,L-000167,"Old Town, Dindigul",CR-2026-2006
CAL-0000116,P-000610,PH-000508,+91-0537953816,P-001371,PH-000134,+91-7139155963,2026-07-01 02:27:18,839,INCOMING,TWR-0120,L-000090,"Warehouse Zone, Salem",
CAL-0000117,P-000010,PH-000257,+91-7232002496,P-001191,PH-000380,+91-9718594849,2026-03-20 20:41:12,704,INCOMING,TWR-0001,L-000136,"Bus Stand, Dindigul",
CAL-0000118,P-000756,PH-000805,+91-0702608698,P-001721,PH-000463,+91-1274747219,2026-01-08 11:56:00,1798,OUTGOING,TWR-0111,L-000021,"Old Town, Coimbatore",
CAL-0000119,P-000909,PH-000806,+91-2210531611,P-001283,PH-000563,+91-3288377441,2026-01-07 14:36:24,425,OUTGOING,TWR-0142,L-000166,"Old Town, Thoothukudi",
CAL-0000120,P-000616,PH-000567,+91-2588358681,P-001964,PH-000162,+91-3908926137,2026-03-19 15:10:21,989,INCOMING,TWR-0131,L-000077,"Textile Market, Coimbatore",CR-2026-2020
CAL-0000121,P-001565,PH-000210,+91-2737158698,P-000952,PH-000691,+91-1259020357,2026-07-15 12:14:04,2367,INCOMING,TWR-0115,L-000116,"Highway Junction, Vellore",CR-2026-2011
CAL-0000122,P-000570,PH-000073,+91-1406937515,P-001898,PH-000759,+91-7908335061,2026-05-23 19:26:34,0,MISSED,TWR-0391,L-000151,"Warehouse Zone, Salem",
CAL-0000123,P-001153,PH-000161,+91-5134228499,P-001922,PH-000377,+91-6093141818,2026-08-18 10:12:52,3591,INCOMING,TWR-0060,L-000015,"SIPCOT, Kanniyakumari",
CAL-0000124,P-000702,PH-000889,+91-2850116880,P-000439,PH-000855,+91-5398628950,2026-08-16 15:53:40,2131,OUTGOING,TWR-0202,L-000036,"Port Area, Dindigul",
CAL-0000125,P-000664,PH-000829,+91-7692743811,P-001556,PH-000554,+91-0806129439,2026-04-26 19:23:35,0,MISSED,TWR-0257,L-000160,"Industrial Estate, Thoothukudi",CR-2026-2009
CAL-0000126,P-001555,PH-000446,+91-1096227284,P-001333,PH-000696,+91-6543588418,2026-04-29 01:46:36,1040,INCOMING,TWR-0035,L-000086,"Old Town, Kanniyakumari",CR-2026-2010
CAL-0000127,P-001329,PH-000083,+91-6273014719,P-000967,PH-000415,+91-9424090367,2026-07-25 09:38:00,1139,OUTGOING,TWR-0321,L-000052,"Bus Stand, Erode",CR-2026-2005
CAL-0000128,P-000838,PH-000553,+91-5857567667,P-001601,PH-000261,+91-7795995946,2026-01-17 01:21:27,3450,OUTGOING,TWR-0169,L-000167,"Old Town, Dindigul",
CAL-0000129,P-000493,PH-000317,+91-3553380339,P-001104,PH-000458,+91-2271133228,2026-03-25 09:23:25,575,INCOMING,TWR-0189,L-000083,"Auto Nagar, Hosur",CR-2026-2006
CAL-0000130,P-000679,PH-000379,+91-0163611284,P-001642,PH-000578,+91-8217661912,2026-07-17 04:58:11,3235,INCOMING,TWR-0373,L-000015,"SIPCOT, Kanniyakumari",
CAL-0000131,P-000751,PH-000697,+91-3437401827,P-001666,PH-000619,+91-9376392836,2026-06-03 19:00:17,1779,INCOMING,TWR-0324,L-000079,"Warehouse Zone, Salem",
CAL-0000132,P-001440,PH-000141,+91-5612481569,P-001703,PH-000364,+91-5011117830,2026-01-26 01:52:53,2757,OUTGOING,TWR-0166,L-000091,"Industrial Estate, Nagapattinam",
CAL-0000133,P-000493,PH-000317,+91-3553380339,P-001104,PH-000458,+91-2271133228,2026-03-14 20:26:35,580,OUTGOING,TWR-0006,L-000147,"Port Area, Tiruchirappalli",CR-2026-2007
CAL-0000134,P-001317,PH-000818,+91-7681826832,P-000347,PH-000551,+91-3426834414,2026-08-12 09:15:38,1836,OUTGOING,TWR-0159,L-000043,"Textile Market, Karur",
CAL-0000135,P-000754,PH-000260,+91-8065333153,P-001978,PH-000937,+91-6919284552,2026-05-14 07:49:21,1634,OUTGOING,TWR-0326,L-000102,"Industrial Estate, Hosur",CR-2026-2016
CAL-0000136,P-000035,PH-000634,+91-7827411767,P-001863,PH-000146,+91-0089317342,2026-01-04 17:21:29,2258,OUTGOING,TWR-0399,L-000023,"Bus Stand, Kanniyakumari",CR-2026-2017
CAL-0000137,P-001481,PH-000589,+91-5603319036,P-000300,PH-000518,+91-0414596422,2026-08-28 14:59:08,191,INCOMING,TWR-0028,L-000151,"Warehouse Zone, Salem",CR-2026-2002
CAL-0000138,P-001535,PH-000105,+91-9121535396,P-001846,PH-000306,+91-3106005313,2026-02-19 21:11:54,1437,INCOMING,TWR-0197,L-000182,"IT Park, Karur",
CAL-0000139,P-001620,PH-000562,+91-4979162022,P-001943,PH-000020,+91-1286391741,2026-06-08 23:35:31,3326,INCOMING,TWR-0368,L-000079,"Warehouse Zone, Salem",
CAL-0000140,P-000173,PH-000659,+91-9145211823,P-001750,PH-000497,+91-7224029901,2026-07-06 09:07:36,1260,OUTGOING,TWR-0101,L-000179,"SIPCOT, Tiruchirappalli",
