record_id,person_id,person_name,aliases,phone_id,phone_number,vehicle_id,vehicle_plate,location_id,location,organization_id,organization,target_person_id,target_person,event_type,event_date,amount_inr,notes,risk_score,case_id
REC-MA-0000052,P-000428,Pooja Banerjee,,,,,,L-000090,"Warehouse Zone, Salem",,,,,LOCATION_PING,2026-02-13 02:56:56,,,41,CR-2026-2012
REC-MA-0000053,P-001987,Punit Kamble,,PH-000788,+91-9793164772,,,,,,,,,CALL_LOG,2026-05-23 07:55:01,,,90,
REC-MA-0000054,P-000655,Aman Dubey,,PH-000581,+91-8938984690,,,,,,,,,CALL_LOG,2026-04-12 15:41:32,,No prior record - routine entry,52,CR-2026-2008
REC-MA-0000055,P-000673,Chetan Naidu,,,,V-000457,PB-89-CK-6575,L-000181,"Highway Junction, Chennai",,,,,VEHICLE_MOVEMENT,2026-06-28 18:06:38,,,86,CR-2026-2019
REC-MA-0000056,P-001263,Manoj Kamble,,,,V-000380,BR-32-GT-4507,L-000015,"SIPCOT, Kanniyakumari",,,,,VEHICLE_MOVEMENT,2026-06-04 05:21:13,,,59,
REC-MA-0000057,P-001689,Siddharth Pawar,,,,V-000635,WB-51-JO-3977,L-000160,"Industrial Estate, Thoothukudi",O-000195,Prime Financial Traders,,,REGISTRATION_RECORD,2026-05-02 08:28:28,,Documentation mismatch flagged,69,
REC-MA-0000058,P-000212,Sonia Bhat,,,,,,L-000021,"Old Town, Coimbatore",,,,,SIGHTING_REPORT,2026-03-09 20:50:45,,,19,
REC-MA-0000059,P-001435,Gaurav Kulkarni,,PH-000312,+91-6252571509,,,,,,,,,CALL_LOG,2026-01-27 10:55:26,,,34,
REC-MA-0000060,P-000358,Vaishnavi Kulkarni,,,,V-000003,UP-19-JE-7401,L-000069,"Ring Road, Erode",O-000197,Pinnacle Exports Group,,,REGISTRATION_RECORD,2026-09-01 22:15:19,,,47,
REC-MA-0000061,P-000709,Vivek Banerjee,,PH-000385,+91-1465111312,,,,,,,,,CALL_LOG,2026-01-29 03:21:41,,,21,
REC-MA-0000062,P-000655,Aman Dubey,,,,,,L-000158,"Railway Station, Krishnagiri",,,,,SIGHTING_REPORT,2026-03-09 22:34:30,,Frequent contact with flagged number,80,
REC-MA-0000063,P-000187,Yash Sen,,,,V-000480,RJ-07-GQ-5116,L-000087,"IT Park, Cuddalore",O-000001,City Exports Traders,P-000702,Shikha Shinde,REGISTRATION_RECORD,2026-03-21 03:25:34,,,98,
REC-MA-0000064,P-001271,Chandan Mahapatra,,PH-000629,+91-5652203684,,,,,,,,,CALL_LOG,2026-04-06 11:35:01,,,27,CR-2026-2013
REC-MA-0000065,P-001381,Sachin Mukherjee,,,,,,L-000089,"Ring Road, Krishnagiri",,,,,SIGHTING_REPORT,2026-08-26 16:06:41,,,48,
REC-MA-0000066,P-000687,Anand Pillai,,PH-000812,+91-2906032020,,,,,O-000136,Pinnacle Digital & Co,,,FINANCIAL_TXN,2026-04-16 05:15:13,69310,,34,
REC-MA-0000067,P-001342,Bhavna Chakraborty,,,,,,L-000114,"Ring Road, Thanjavur",,,P-000038,Radhika Rao,SIGHTING_REPORT,2026-06-01 14:40:45,,,53,
REC-MA-0000068,P-001967,Varun Reddy,,,,V-000686,KL-78-CU-7262,L-000072,"Warehouse Zone, Erode",O-000208,Global Energy Udyog,,,REGISTRATION_RECORD,2026-05-27 10:02:33,,,49,CR-2026-2015
REC-MA-0000069,P-001023,Nirav Murugan,,,,V-000382,PB-67-DE-5621,L-000104,"Bypass, Tiruchirappalli",O-000010,Nexus Pharma Movers,,,REGISTRATION_RECORD,2026-03-31 19:43:01,,Co-location with case-linked individual,84,CR-2026-2015
REC-MA-0000070,P-000664,Meera Gupta,,,,,,L-000021,"Old Town, Coimbatore",,,,,SIGHTING_REPORT,2026-05-28 01:31:34,,,87,
REC-MA-0000071,P-000528,Ritu Chettiar,,PH-000135,+91-6321234764,,,,,O-000136,Pinnacle Digital & Co,,,FINANCIAL_TXN,2026-07-27 07:42:35,178732,Contact cluster under observation,45,CR-2026-2019
REC-MA-0000072,P-001892,Jaya Chakraborty,,,,,,L-000012,"Bus Stand, Madurai",,,,,LOCATION_PING,2026-03-03 11:56:43,,,51,
REC-MA-0000073,P-001441,Kiran Mukherjee,,,,V-000179,AP-95-DU-1349,L-000114,"Ring Road, Thanjavur",,,,,VEHICLE_MOVEMENT,2026-02-24 07:51:22,,,47,
REC-MA-0000074,P-001543,Yash Prakash,,PH-000725,+91-0241613944,,,,,O-000002,Bluebird Automotive Movers,P-000389,Vikram Nayak,FINANCIAL_TXN,2026-06-07 07:27:25,12854,,50,CR-2026-2010
REC-MA-0000075,P-001891,Rajesh Menon,,PH-000483,+91-1096179817,,,,,,,,,CALL_LOG,2026-07-16 02:44:17,,,52,
REC-MA-0000076,P-000425,Sachin Nayak,,PH-000213,+91-7702851961,,,,,O-000250,National Freight Ltd,,,FINANCIAL_TXN,2026-02-28 11:49:40,3384,,27,
REC-MA-0000077,P-000689,Rakesh Nayak,,,,,,L-000096,"Warehouse Zone, Tiruchirappalli",,,P-000357,Sachin Ganesan,LOCATION_PING,2026-03-02 23:30:51,,,19,CR-2026-2014
REC-MA-0000078,P-000126,Swati Mahapatra,,,,,,L-000037,"Port Area, Karur",,,,,LOCATION_PING,2026-01-23 04:43:08,,,30,CR-2026-2004
REC-MA-0000079,P-001632,Vandana Mukherjee,,,,,,L-000165,"Ring Road, Krishnagiri",,,,,SIGHTING_REPORT,2026-01-22 03:37:31,,,49,
REC-MA-0000080,P-001120,Bhavna Reddy,,,,,,L-000086,"Old Town, Kanniyakumari",,,,,LOCATION_PING,2026-07-14 10:28:16,,,62,
REC-MA-0000081,P-000504,Swati Pradhan,"S. Pradhan,Swati P.,S P",PH-000062,+91-2411241272,,,,,,,,,CALL_LOG,2026-05-14 03:51:49,,Vehicle observed at loading bay,60,CR-2026-2004
REC-MA-0000082,P-000697,Keshav Patel,,,,,,L-000088,"Bus Stand, Hosur",,,P-000783,Nikhil Ganesan,SIGHTING_REPORT,2026-01-05 21:21:09,,,57,
REC-MA-0000083,P-001293,Anil Singh,"A. Singh,Anil S.,A S",,,,,L-000026,"Bypass, Krishnagiri",,,,,SIGHTING_REPORT,2026-05-18 08:55:31,,Contact cluster under observation | Also known as A. Singh,18,
REC-MA-0000084,P-000533,Aman Sen,,,,V-000138,KL-13-IY-6468,L-000079,"Warehouse Zone, Salem",,,,,VEHICLE_MOVEMENT,2026-08-19 03:07:11,,,13,CR-2026-2002
REC-MA-0000085,P-001625,Anand Sundaram,,PH-000605,+91-7070578360,,,,,,,,,CALL_LOG,2026-04-12 09:29:58,,Funds routed through multiple accounts,64,
REC-MA-0000086,P-000865,Vivek Chakraborty,,,,,,L-000170,"Bus Stand, Karur",,,,,LOCATION_PING,2026-07-09 19:23:00,,,77,CR-2026-2015
REC-MA-0000087,P-000676,Lakshmi Patel,,,,V-000652,WB-68-ZU-2422,L-000153,"University Road, Krishnagiri",,,,,VEHICLE_MOVEMENT,2026-04-12 17:03:42,,Funds routed through multiple accounts,60,
REC-MA-0000088,P-001168,Shreya Gaikwad,,,,V-000253,HR-99-TS-7158,L-000096,"Warehouse Zone, Tiruchirappalli",,,,,VEHICLE_MOVEMENT,2026-07-23 12:16:39,,,50,
REC-MA-0000089,P-000595,Amit Venkatesh,"A. Venkatesh,Amit V.,A V",PH-000966,+91-7789431910,,,,,O-000157,Pinnacle Digital Ltd,P-000076,Lakshmi Shinde,FINANCIAL_TXN,2026-06-05 21:01:24,85146,,72,
REC-MA-0000090,P-000513,Pranav Tiwari,,,,,,L-000015,"SIPCOT, Kanniyakumari",,,,,SIGHTING_REPORT,2026-07-28 21:07:45,,,48,CR-2026-2011
REC-MA-0000091,P-000923,Varun Chettiar,,,,,,L-000079,"Warehouse Zone, Salem",,,,,LOCATION_PING,2026-02-06 18:25:29,,,54,CR-2026-2018
REC-MA-0000092,P-000947,Varun Pandey,,PH-000957,+91-5660847068,,,,,,,P-000681,Ravi Rajan,CALL_LOG,2026-06-13 12:46:08,,,43,
REC-MA-0000093,P-000699,Arun Joshi,,,,V-000470,MH-82-FY-7860,L-000153,"University Road, Krishnagiri",O-000109,Bluebird Construction & Co,,,REGISTRATION_RECORD,2026-05-11 14:23:50,,,34,
REC-MA-0000094,P-000148,Shikha Mahapatra,,PH-000175,+91-1722601645,,,,,O-000216,Crystal Trading & Co,,,FINANCIAL_TXN,2026-02-19 21:53:39,61292,Vehicle observed at loading bay,84,CR-2026-2010
REC-MA-0000095,P-000069,Deepak Chavan,,,,V-000120,GJ-54-FN-4343,L-000123,"Old Town, Krishnagiri",,,,,VEHICLE_MOVEMENT,2026-07-17 22:45:22,,,40,
REC-MA-0000096,P-000534,Shikha Chopra,,PH-000268,+91-3552896112,,,,,O-000021,Pinnacle Steel Udyog,,,FINANCIAL_TXN,2026-01-23 18:21:23,238355,,32,CR-2026-2019
REC-MA-0000097,P-000583,Anand Banerjee,,,,,,L-000015,"SIPCOT, Kanniyakumari",,,P-000452,Sneha Venkatesh,LOCATION_PING,2026-04-27 03:31:59,,,59,
REC-MA-0000098,P-000175,Vikram Joshi,,,,V-000028,TN-36-DR-9769,L-000121,"Residential Colony, Nagercoil",,,,,VEHICLE_MOVEMENT,2026-03-19 02:08:16,,,7,
REC-MA-0000099,P-001431,Kunal Bansal,,,,V-000338,KL-11-ZW-8014,L-000054,"Warehouse Zone, Cuddalore",,,,,VEHICLE_MOVEMENT,2026-05-23 18:20:13,,,76,
REC-MA-0000100,P-000720,Vaishnavi Chauhan,,,,V-000425,KL-70-ZC-4853,L-000104,"Bypass, Tiruchirappalli",,,,,VEHICLE_MOVEMENT,2026-01-03 12:17:14,,,67,
REC-MA-0000101,P-000704,Lakshmi Murugan,"L. Murugan,Lakshmi M.,L M",,,,,L-000184,"Market Road, Madurai",,,,,SIGHTING_REPORT,2026-07-14 07:02:14,,,100,CR-2026-2014
REC-MA-0000102,P-000126,Swati Mahapatra,,,,,,L-000096,"Warehouse Zone, Tiruchirappalli",,,,,LOCATION_PING,2026-08-18 08:55:21,,,45,
REC-MA-0000103,P-000035,Nirav Pillai,,PH-000634,+91-7827411767,,,,,,,,,CALL_LOG,2026-06-29 14:46:51,,,53,
REC-MA-0000104,P-001785,Gopal Venkatesh,,,,V-000353,BR-49-VR-4950,L-000102,"Industrial Estate, Hosur",,,,,VEHICLE_MOVEMENT,2026-08-17 11:52:37,,,27,CR-2026-2019
REC-MA-0000105,P-000613,Vikram Patel,,,,,,L-000153,"University Road, Krishnagiri",,,P-000105,Rajesh Krishnan,SIGHTING_REPORT,2026-03-20 14:23:18,,,58,
REC-MA-0000106,P-001921,Punit Nair,,,,V-000048,HR-36-FH-7708,L-000054,"Warehouse Zone, Cuddalore",,,,,VEHICLE_MOVEMENT,2026-07-14 06:37:00,,Funds routed through multiple accounts,45,CR-2026-2001
REC-MA-0000107,P-000471,Nikhil Kapoor,,,,V-000390,MH-62-BN-3017,L-000121,"Residential Colony, Nagercoil",O-000190,Global Exports Group,,,REGISTRATION_RECORD,2026-07-06 19:11:59,,,73,
REC-MA-0000108,P-001332,Divya Bose,,,,,,L-000052,"Bus Stand, Erode",,,,,LOCATION_PING,2026-01-09 19:49:55,,,64,
REC-MA-0000109,P-001847,Kartik Subramanian,,,,V-000303,GJ-65-JU-3129,L-000181,"Highway Junction, Chennai",O-000168,Nexus Retail Group,,,REGISTRATION_RECORD,2026-04-07 07:31:29,,,77,
REC-MA-0000110,P-001949,Ajay Shinde,,,,,,L-000114,"Ring Road, Thanjavur",,,P-001609,Punit Kulkarni,SIGHTING_REPORT,2026-05-22 19:26:11,,High frequency evening calls,100,CR-2026-2019
REC-MA-0000111,P-001515,Ajay Swain,,PH-000492,+91-8196027523,,,,,O-000231,Apex Distributors Enterprises,,,FINANCIAL_TXN,2026-01-14 04:13:39,44520,,45,CR-2026-2008
REC-MA-0000112,P-000352,Anjali Dutta,,PH-000888,+91-7071398482,,,,,,,,,CALL_LOG,2026-01-08 12:36:16,,,79,
REC-MA-0000113,P-001393,Vivek Khanna,,,,V-000409,WB-21-ZO-5165,L-000168,"Grain Market, Salem",O-000034,Orbit Steel Group,,,REGISTRATION_RECORD,2026-01-24 04:32:21,,,25,CR-2026-2010
REC-MA-0000114,P-000510,Jaya Pillai,,,,,,L-000054,"Warehouse Zone, Cuddalore",,,,,SIGHTING_REPORT,2026-05-23 10:18:34,,,83,
REC-MA-0000115,P-000900,Sonia Murugan,,PH-000695,+91-8720962893,,,,,,,P-001186,Neha Mukherjee,CALL_LOG,2026-07-20 00:16:10,,,69,
REC-MA-0000116,P-000555,Suresh Dutta,,,,V-000264,DL-53-UC-4549,L-000188,"Railway Station, Chennai",O-000106,Nexus Construction Udyog,,,REGISTRATION_RECORD,2026-05-23 13:35:33,,,41,CR-2026-2016
REC-MA-0000117,P-001317,Chandan Naidu,,,,V-000063,BR-33-PM-8640,L-000072,"Warehouse Zone, Erode",,,,,VEHICLE_MOVEMENT,2026-08-23 15:02:57,,Frequent contact with flagged number,61,
REC-MA-0000118,P-001273,Rohit Dubey,,,,V-000574,CG-73-SA-1314,L-000167,"Old Town, Dindigul",O-000237,Orbit Energy Enterprises,,,REGISTRATION_RECORD,2026-05-19 15:36:33,,,74,
REC-MA-0000119,P-000327,Gaurav Saha,,,,V-000261,AP-37-AL-7676,L-000180,"SIPCOT, Vellore",O-000020,Highland Digital Enterprises,,,REGISTRATION_RECORD,2026-07-29 03:30:58,,Matches known alias spelling,87,CR-2026-2019
REC-MA-0000120,P-001105,Karan Joshi,,PH-000104,+91-7167811266,,,,,,,P-000018,Ritu Pandey,CALL_LOG,2026-01-02 15:00:01,,No prior record - routine entry,47,
REC-MA-0000121,P-001801,Harish Natarajan,,PH-000647,+91-4763928319,,,,,O-000135,Silver Logistics Ltd,,,FINANCIAL_TXN,2026-02-07 21:10:46,89229,,42,
REC-MA-0000122,P-001541,Ishaan Deshmukh,,PH-000345,+91-4932898027,,,,,O-000186,Highland Pharma Udyog,,,FINANCIAL_TXN,2026-06-08 04:42:55,95095,,42,CR-2026-2016
REC-MA-0000123,P-001005,Akshay Sen,,,,V-000276,DL-03-RZ-2508,L-000114,"Ring Road, Thanjavur",O-000224,United Digital Group,,,REGISTRATION_RECORD,2026-04-02 05:25:43,,,12,
REC-MA-0000124,P-000409,Nikhil Bhat,,PH-000403,+91-3718923923,,,,,,,,,CALL_LOG,2026-03-16 23:34:59,,Contact cluster under observation,59,CR-2026-2008
REC-MA-0000125,P-000387,Ramesh Sundaram,,PH-000673,+91-1921342491,,,,,,,,,CALL_LOG,2026-02-25 12:34:45,,,79,CR-2026-2018
REC-MA-0000126,P-001863,Manoj Pillai,,PH-000146,+91-0089317342,,,,,O-000039,Nexus Steel Traders,,,FINANCIAL_TXN,2026-03-10 23:42:34,117267,,60,CR-2026-2007
REC-MA-0000127,P-001887,Manoj Chopra,,PH-000396,+91-6284177225,,,,,O-000163,Summit Textiles Group,,,FINANCIAL_TXN,2026-06-21 04:01:39,25575,,79,CR-2026-2015
REC-MA-0000128,P-001535,Jatin Subramanian,,,,,,L-000102,"Industrial Estate, Hosur",,,,,LOCATION_PING,2026-05-25 14:53:00,,,91,CR-2026-2008
REC-MA-0000129,P-001179,Anil Naidu,,,,,,L-000016,"University Road, Karur",,,,,LOCATION_PING,2026-03-29 17:40:58,,,51,
REC-MA-0000130,P-001420,Neha Dutta,,,,,,L-000096,"Warehouse Zone, Tiruchirappalli",,,,,SIGHTING_REPORT,2026-08-20 14:21:53,,,29,CR-2026-2001
REC-MA-0000131,P-000620,Shalini Mehta,,,,,,L-000105,"Bypass, Tirunelveli",,,,,LOCATION_PING,2026-04-30 07:37:26,,,33,
REC-MA-0000132,P-001149,Ashok Reddy,,PH-000447,+91-7657041200,,,,,,,P-001896,Sneha Chavan,CALL_LOG,2026-09-01 15:46:28,,,91,CR-2026-2019
REC-MA-0000133,P-000197,Saurabh Kamble,,,,,,L-000119,"SIPCOT, Krishnagiri",,,,,LOCATION_PING,2026-06-11 10:55:19,,,15,CR-2026-2007
REC-MA-0000134,P-001535,Jatin Subramanian,,,,V-000169,DL-13-MP-4215,L-000097,"Technology Park, Coimbatore",,,,,VEHICLE_MOVEMENT,2026-03-20 07:57:33,,Inconsistent address on record,93,
REC-MA-0000135,P-001327,Chandan Patel,,PH-000398,+91-6502374167,,,,,O-000041,Nexus Importers Ltd,,,FINANCIAL_TXN,2026-06-15 00:41:18,150277,Cash pickup observed near market road,72,
REC-MA-0000136,P-000358,Vaishnavi Kulkarni,,,,,,L-000021,"Old Town, Coimbatore",,,,,LOCATION_PING,2026-06-28 11:30:14,,,52,CR-2026-2014
REC-MA-0000137,P-001601,Sachin Agarwal,,PH-000261,+91-7795995946,,,,,,,,,CALL_LOG,2026-08-02 04:08:23,,,54,
REC-MA-0000138,P-001943,Ankit Bansal,,,,V-000015,CG-66-PM-3248,L-000181,"Highway Junction, Chennai",O-000162,Vantage Energy Udyog,,,REGISTRATION_RECORD,2026-08-22 03:43:21,,,74,
REC-MA-0000139,P-000554,Anjali Naidu,,PH-000593,+91-3745843845,,,,,O-000182,Trustline Retail Pvt Ltd,P-000943,Rohit Menon,FINANCIAL_TXN,2026-08-10 10:26:36,48825,,76,CR-2026-2011
REC-MA-0000140,P-000027,Shashank Krishnan,,,,V-000541,MP-24-NC-1714,L-000009,"Highway Junction, Krishnagiri",O-000056,Highland Importers Group,,,REGISTRATION_RECORD,2026-02-10 18:34:40,,,52,CR-2026-2006
